No,Activated,Brand,Ti,Al,Zr,Mo,V,Ta,Nb,Cr,Fe,Sn,Sys,FirstAppearinLine,CompNum,Produce_Lab,Produce_Factory,InitStat,Deform,DeformTemp_C,DeformRate,HT1,HT1Temp_C,HT1Time_h,Cool1,HT2,HT2Temp_C,HT2Time_h,Cool2,YM,HV,UTS,YS,El,均匀延伸率 (%),断面收缩率(%),断裂韧性KIC（MPa.m12）,应力腐蚀断裂韧性KISCC（MPa·m12）,夏比冲击吸收功KU2（J）,夏比冲击韧性值aku2（Jcm2）,夏比冲击吸收功KV2（J）,夏比冲击韧性值akV2（Jcm2）,（其他）,reference_id (文献数据标记doi；实验数据标记人员姓名),文献名称,文献序号,汇总信息人员姓名,序号,核对人员姓名,备注
148,1,,67.33,0,0,0,0,0,32.67,0,0,0,Ti-Nb,6,2,1,0,2,1,20,90,0,0,0,0,0,0,0,0,,,779,,6.2,,,,,,,,,,10.1016j.msea.2015.11.005,In-situ investigation of stress-induced martensitic transformation in Ti–Nb binary alloys with low Young's modulus,26,刘雨佳,148,,
149,1,,67.33,0,0,0,0,0,32.67,0,0,0,Ti-Nb,6,2,1,0,2,1,20,90,1,750,1,1,0,0,0,0,,,503,,25.8,,,,,,,,,,10.1016j.msea.2015.11.005,In-situ investigation of stress-induced martensitic transformation in Ti–Nb binary alloys with low Young's modulus,26,刘雨佳,149,,
150,1,,67.33,0,0,0,0,0,32.67,0,0,0,Ti-Nb,6,2,1,0,2,1,20,90,1,850,1,1,0,0,0,0,,,608,,24.9,,,,,,,,,,10.1016j.msea.2015.11.005,In-situ investigation of stress-induced martensitic transformation in Ti–Nb binary alloys with low Young's modulus,26,刘雨佳,150,,
151,1,,67.33,0,0,0,0,0,32.67,0,0,0,Ti-Nb,6,2,1,0,2,1,20,90,1,950,1,1,0,0,0,0,,,623,,16.9,,,,,,,,,,10.1016j.msea.2015.11.005,In-situ investigation of stress-induced martensitic transformation in Ti–Nb binary alloys with low Young's modulus,26,刘雨佳,151,,
152,1,,54.59,0,0,0,0,0,45.41,0,0,0,Ti-Nb,6,2,1,0,2,1,20,90,0,0,0,0,0,0,0,0,,,561,,3.5,,,,,,,,,,10.1016j.msea.2015.11.005,In-situ investigation of stress-induced martensitic transformation in Ti–Nb binary alloys with low Young's modulus,26,刘雨佳,152,,
153,1,,54.59,0,0,0,0,0,45.41,0,0,0,Ti-Nb,6,2,1,0,2,1,20,90,1,750,1,1,0,0,0,0,,,449,,24,,,,,,,,,,10.1016j.msea.2015.11.005,In-situ investigation of stress-induced martensitic transformation in Ti–Nb binary alloys with low Young's modulus,26,刘雨佳,153,,
154,1,,54.59,0,0,0,0,0,45.41,0,0,0,Ti-Nb,6,2,1,0,2,1,20,90,1,850,1,1,0,0,0,0,,,493,,21.1,,,,,,,,,,10.1016j.msea.2015.11.005,In-situ investigation of stress-induced martensitic transformation in Ti–Nb binary alloys with low Young's modulus,26,刘雨佳,154,,
155,1,,54.59,0,0,0,0,0,45.41,0,0,0,Ti-Nb,6,2,1,0,2,1,20,90,1,950,1,1,0,0,0,0,,,587,,17.1,,,,,,,,,,10.1016j.msea.2015.11.005,In-situ investigation of stress-induced martensitic transformation in Ti–Nb binary alloys with low Young's modulus,26,刘雨佳,155,,
50,1,,87,0,0,0,0,0,13,0,0,0,Ti-Nb,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,799.98,672.97,5.11,,,,,,,,,,10.1016j.matpr.2020.05.315,Effect of Nb content on the microstructure and mechanical properties of binary Ti-Nb alloys,8,石欣逾,50,张闫,
51,1,,72,0,0,0,0,0,28,0,0,0,Ti-Nb,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,778.33,616.5,3.03,,,,,,,,,,10.1016j.matpr.2020.05.316,Effect of Nb content on the microstructure and mechanical properties of binary Ti-Nb alloys,8,石欣逾,51,张闫,
52,1,,85,0,0,0,0,0,15,0,0,0,Ti-Nb,6,2,1,0,2,1,20,85,1,900,0.5,1,0,0,0,0,56,241,648,462,16,,,,,,,,,,10.1016j.matchar.2021.111122,"The roles of oxygen content on microstructural transformation, mechanical properties and corrosion resistance of Ti-Nb-based biomedical alloys with different <a6><c2> stabilities",9,石欣逾,52,,
53,1,,68,0,0,0,0,0,32,0,0,0,Ti-Nb,6,2,1,0,2,1,20,85,1,900,0.5,1,0,0,0,0,65,158,550,325,22,,,,,,,,,,10.1016j.matchar.2021.111123,"The roles of oxygen content on microstructural transformation, mechanical properties and corrosion resistance of Ti-Nb-based biomedical alloys with different <a6><c3> stabilities",9,石欣逾,53,,
54,1,,62,0,0,0,0,0,38,0,0,0,Ti-Nb,6,2,1,0,2,1,20,85,1,900,0.5,1,0,0,0,0,60,167,479,220,41,,,,,,,,,,10.1016j.matchar.2021.111124,"The roles of oxygen content on microstructural transformation, mechanical properties and corrosion resistance of Ti-Nb-based biomedical alloys with different <a6><c4> stabilities",9,石欣逾,54,,
109,0,,96.1419,0,0,0,0,0,3.73,0,0,0,Ti-Nb,6,2,0,0,3,1,880,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,"Partition of Nb element on microstructure, tensile and impact properties of a near α Ti–4Nb alloy",27,常海峰,109,,无可用性能
110,1,,96.2225,0,0,0,0,0,3.66,0,0,0,Ti-Nb,6,2,0,1,3,1,880,60,1,750,2,2,0,0,0,0,,,503,387,27,61,,,,,,1200,,,,"Partition of Nb element on microstructure, tensile and impact properties of a near α Ti–4Nb alloy",27,常海峰,"Partition of Nb element on microstructure, tensile and impact properties of a near α Ti–4Nb alloy",张闫,
111,1,,96.2986,0,0,0,0,0,3.57,0,0,0,Ti-Nb,6,2,0,1,3,1,880,60,1,800,2,2,0,0,0,0,,,506,372,27,63,,,,,,1340,,,,"Partition of Nb element on microstructure, tensile and impact properties of a near α Ti–4Nb alloy",27,常海峰,"Partition of Nb element on microstructure, tensile and impact properties of a near α Ti–4Nb alloy",张闫,
112,1,,96.2217,0,0,0,0,0,3.66,0,0,0,Ti-Nb,6,2,0,1,3,1,880,60,1,830,2,2,0,0,0,0,,,496,347,31,63,,,,,,1560,,,,"Partition of Nb element on microstructure, tensile and impact properties of a near α Ti–4Nb alloy",27,常海峰,"Partition of Nb element on microstructure, tensile and impact properties of a near α Ti–4Nb alloy",张闫,
343,1,,81.84,0,0,0,0,0,18.16,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,79,,,348,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,343,袁睿豪,343,,
417,1,,76,0,0,0,0,0,24,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,56,,,203,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,417,袁睿豪,417,,
418,1,,76,0,0,0,0,0,24,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,58,,,301,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,418,袁睿豪,418,,
419,1,,76,0,0,0,0,0,24,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,62,,,575,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,419,袁睿豪,419,,
494,1,,76,0,0,0,0,0,24,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,60,,,300,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,494,袁睿豪,494,,
422,0,,91.67,0,0,0,0,0,8.33,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,96,,,558,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,422,袁睿豪,422,,Cool1FCAC
423,0,,91.67,0,0,0,0,0,8.33,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,103,,,744,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,423,袁睿豪,423,,Cool1FCAC
424,0,,91.67,0,0,0,0,0,8.33,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,102,,,962,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,424,袁睿豪,424,,Cool1FCAC
425,0,,90.15,0,0,0,0,0,9.85,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,89,,,628,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,425,袁睿豪,425,,Cool1FCAC
426,0,,90.15,0,0,0,0,0,9.85,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,91,,,822,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,426,袁睿豪,426,,Cool1FCAC
427,0,,90.15,0,0,0,0,0,9.85,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,92,,,893,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,427,袁睿豪,427,,Cool1FCAC
428,0,,88.59,0,0,0,0,0,11.41,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,89,,,655,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,428,袁睿豪,428,,Cool1FCAC
429,0,,88.59,0,0,0,0,0,11.41,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,87,,,818,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,429,袁睿豪,429,,Cool1FCAC
430,0,,88.59,0,0,0,0,0,11.41,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,94,,,906,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,430,袁睿豪,430,,Cool1FCAC
431,0,,86.99,0,0,0,0,0,13.01,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,89,,,734,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,431,袁睿豪,431,,Cool1FCAC
432,0,,86.99,0,0,0,0,0,13.01,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,99,,,854,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,432,袁睿豪,432,,Cool1FCAC
433,0,,86.99,0,0,0,0,0,13.01,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,4,0,0,0,0,100,,,930,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,433,袁睿豪,433,,Cool1FCAC
454,1,,78.28,0,0,0,0,0,21.72,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,73.9,,,289,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,454,袁睿豪,454,,
473,1,,78.28,0,0,0,0,0,21.72,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,85,,,338,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,473,袁睿豪,473,,
480,1,,78.28,0,0,0,0,0,21.72,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,72,,,382,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,480,袁睿豪,480,,
465,1,,85.34,0,0,0,0,0,14.66,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,64,,,456,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,465,袁睿豪,465,,
469,1,,81.91,0,0,0,0,0,18.09,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,79,,,327,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,469,袁睿豪,469,,
488,1,,78,0,0,0,0,0,22,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,73,,,405,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,488,袁睿豪,488,,
495,1,,74,0,0,0,0,0,26,0,0,0,Ti-Nb,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,50,,,290,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,495,袁睿豪,495,,
510,1,,74,0,0,0,0,0,26,0,0,0,Ti-Nb,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,75,,,447,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,510,袁睿豪,510,,
59,1,,76,0,0,0,0,0,24,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66.7,,,,,,,,,,,,,,,,,万鑫泉,,,
79,1,,92.85,0,0,0,0,0,7.15,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81.25,,,,,,,,,,,,,,,,,万鑫泉,,,
80,1,,83.31,0,0,0,0,0,16.69,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80.99,,,,,,,,,,,,,,,,,万鑫泉,,,
90,1,,90.9,0,0,0,0,0,9.1,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92.7,,,,,,,,,,,,,,,,,万鑫泉,,,
91,1,,90.8,0,0,0,0,0,9.2,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93.11,,,,,,,,,,,,,,,,,万鑫泉,,,
92,1,,82.65,0,0,0,0,0,17.35,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98.88,,,,,,,,,,,,,,,,,万鑫泉,,,
93,1,,72.5,0,0,0,0,0,27.5,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77.31,,,,,,,,,,,,,,,,,万鑫泉,,,
94,1,,71.35,0,0,0,0,0,28.65,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,95.22,,,,,,,,,,,,,,,,,万鑫泉,,,
95,1,,98.7,0,0,0,0,0,1.3,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112.5,,,,,,,,,,,,,,,,,万鑫泉,,,
96,1,,97.9,0,0,0,0,0,2.1,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108,,,,,,,,,,,,,,,,,万鑫泉,,,
97,1,,94.59,0,0,0,0,0,5.41,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78.5,,,,,,,,,,,,,,,,,万鑫泉,,,
98,1,,91.67,0,0,0,0,0,8.33,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66.5,,,,,,,,,,,,,,,,,万鑫泉,,,
99,1,,90.45,0,0,0,0,0,9.55,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,,,,,,,,,,,,,,,,,万鑫泉,,,
100,1,,88.59,0,0,0,0,0,11.41,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78.5,,,,,,,,,,,,,,,,,万鑫泉,,,
101,1,,81.91,0,0,0,0,0,18.09,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93.5,,,,,,,,,,,,,,,,,万鑫泉,,,
102,1,,74.43,0,0,0,0,0,25.57,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67,,,,,,,,,,,,,,,,,万鑫泉,,,
103,1,,70.35,0,0,0,0,0,29.65,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67.5,,,,,,,,,,,,,,,,,万鑫泉,,,
104,1,,66,0,0,0,0,0,34,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74.5,,,,,,,,,,,,,,,,,万鑫泉,,,
105,1,,56.41,0,0,0,0,0,43.59,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,,,,,,,,,,,,,,,,,万鑫泉,,,
106,1,,77.53,0,0,0,0,0,22.47,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,,,,,,,,,,,,,,,,,万鑫泉,,,
107,1,,74.43,0,0,0,0,0,25.57,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,,,,,,,,,,,,,,,,,万鑫泉,,,
108,1,,72.83,0,0,0,0,0,27.17,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,,,,,,,,,,,,,,,,,万鑫泉,,,
109,1,,70.25,0,0,0,0,0,29.75,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,,,,,,,,,,,,,,,,,万鑫泉,,,
110,1,,70.18,0,0,0,0,0,29.82,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64.3,,,,,,,,,,,,,,,,,万鑫泉,,,
121,1,,80,0,0,0,0,0,20,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61.4,,,,,,,,,,,,,,,,,万鑫泉,,,
126,1,,74.49,0,0,0,0,0,25.51,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,,,,,,,,,,,,,,,,,万鑫泉,,,
127,1,,43.59,0,0,0,0,0,56.41,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,,,,,,,,,,,,,,,,,万鑫泉,,,
175,1,,73,0,0,0,0,0,27,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67.1,,,,,,,,,,,,,,,,,万鑫泉,,,
176,1,,72.74,0,0,0,0,0,27.26,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,,,,,,,,,,,,,,,,,万鑫泉,,,
178,1,,76.85,0,0,0,0,0,23.15,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,,,,,,,,,,,,,,,,,万鑫泉,,,
180,1,,71.18,0,0,0,0,0,28.82,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,,,,,,,,,,,,,,,,,万鑫泉,,,
182,1,,78.28,0,0,0,0,0,21.72,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,,,,,,,,,,,,,,,,,万鑫泉,,,
216,1,,76.85,0,0,0,0,0,23.15,0,0,0,Ti-Nb,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,,,,,,,,,,,,,,,,,万鑫泉,,,
81,1,,70,0,0,0,0,30,0,0,0,0,Ti-Ta,88,2,1,0,1,0,0,0,1,950,1,1,0,0,0,0,,,587,,20.97,,,,,,,,,,10.1016j.msea.2004.05.084,Decomposition of martensite α″ during aging treatments and resulting mechanical properties of Ti−Ta alloys,11,刘雨佳,81,,
82,1,,70,0,0,0,0,30,0,0,0,0,Ti-Ta,88,2,1,0,1,0,0,0,1,950,1,1,1,500,72,1,,,891,,9.32,,,,,,,,,,10.1016j.msea.2004.05.084,Decomposition of martensite α″ during aging treatments and resulting mechanical properties of Ti−Ta alloys,11,刘雨佳,82,,
83,1,,70,0,0,0,0,30,0,0,0,0,Ti-Ta,88,2,1,0,1,0,0,0,1,950,1,1,1,600,72,1,,,761,,11.93,,,,,,,,,,10.1016j.msea.2004.05.084,Decomposition of martensite α″ during aging treatments and resulting mechanical properties of Ti−Ta alloys,11,刘雨佳,83,,
84,1,,50,0,0,0,0,50,0,0,0,0,Ti-Ta,88,2,1,0,1,0,0,0,1,950,1,1,0,0,0,0,,,582,,22.97,,,,,,,,,,10.1016j.msea.2004.05.084,Decomposition of martensite α″ during aging treatments and resulting mechanical properties of Ti−Ta alloys,11,刘雨佳,84,,
85,1,,50,0,0,0,0,50,0,0,0,0,Ti-Ta,88,2,1,0,1,0,0,0,1,950,1,1,1,500,72,1,,,1029,,10.38,,,,,,,,,,10.1016j.msea.2004.05.084,Decomposition of martensite α″ during aging treatments and resulting mechanical properties of Ti−Ta alloys,11,刘雨佳,85,,
86,1,,50,0,0,0,0,50,0,0,0,0,Ti-Ta,88,2,1,0,1,0,0,0,1,950,1,1,1,600,72,1,,,988,,10.63,,,,,,,,,,10.1016j.msea.2004.05.084,Decomposition of martensite α″ during aging treatments and resulting mechanical properties of Ti−Ta alloys,11,刘雨佳,86,,
378,1,,97.14,0,0,0,0,2.86,0,0,0,0,Ti-Ta,88,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,100,,,396,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,378,袁睿豪,378,,
379,1,,89.82,0,0,0,0,10.18,0,0,0,0,Ti-Ta,88,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,69,,,441,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,379,袁睿豪,379,,
380,1,,79.08,0,0,0,0,20.92,0,0,0,0,Ti-Ta,88,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,88,,,379,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,380,袁睿豪,380,,
381,1,,61.83,0,0,0,0,38.17,0,0,0,0,Ti-Ta,88,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,67,,,373,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,381,袁睿豪,381,,
96,1,,86.02,0,0,13.98,0,0,0,0,0,0,Ti-Mo,98,2,1,0,1,0,0,0,1,900,0.0167,1,0,0,0,0,,,1153,,8.18,,,,,,,,,,10.1002adem.201300281,Effect of Solution Treatment Time on Structure and Mechanical Properties of Fast-Cooled Ti–7.5Mo Alloy,14,刘雨佳,96,,
97,1,,86.02,0,0,13.98,0,0,0,0,0,0,Ti-Mo,98,2,1,0,1,0,0,0,1,900,0.05,1,0,0,0,0,,,938,,27.2,,,,,,,,,,10.1002adem.201300281,Effect of Solution Treatment Time on Structure and Mechanical Properties of Fast-Cooled Ti–7.5Mo Alloy,14,刘雨佳,97,,
98,1,,86.02,0,0,13.98,0,0,0,0,0,0,Ti-Mo,98,2,1,0,1,0,0,0,1,900,0.083,1,0,0,0,0,,,924,,28.2,,,,,,,,,,10.1002adem.201300281,Effect of Solution Treatment Time on Structure and Mechanical Properties of Fast-Cooled Ti–7.5Mo Alloy,14,刘雨佳,98,,
99,1,,86.02,0,0,13.98,0,0,0,0,0,0,Ti-Mo,98,2,1,0,1,0,0,0,1,900,0.167,1,0,0,0,0,,,921,,21.78,,,,,,,,,,10.1002adem.201300281,Effect of Solution Treatment Time on Structure and Mechanical Properties of Fast-Cooled Ti–7.5Mo Alloy,14,刘雨佳,99,,
100,1,,86.02,0,0,13.98,0,0,0,0,0,0,Ti-Mo,98,2,1,0,1,0,0,0,1,900,0.5,1,0,0,0,0,,,940,,17.4,,,,,,,,,,10.1002adem.201300281,Effect of Solution Treatment Time on Structure and Mechanical Properties of Fast-Cooled Ti–7.5Mo Alloy,14,刘雨佳,100,,
